T_s,A_Skt
1.1,2
1.04,2.5
1.01,3
0.96,3.5
0.93,4
0.89,5
0.85,6
0.82,7
0.81,8
0.8,10.5
0.79,13
0.73,5
0.78,14
0.71,4.5
0.7,3
0.68,2
0.66,1.5
0.79,14
0.72, 4
0.76, 15
