U_V,A_Skt,T_s
2.50,4.62,1.28
2.73,5.79,1.17
2.99,13.97,1.06
3.25,21.71,0.98
3.51,8.28,0.87
3.75,7.06,0.81
3.15,18.68,1.02
3.10,14.6,1.04
3.26,22.5,0.99
3.36,12.62,0.93
3.30,22.57,1.00
